Made,Body,Year,Fuel_Type,Transmission,Condition,Price,Cylinder_Numbers,Engine_Size,Estimated_Mileage,Warranty,peakrpm,Owners
Nissan,Saloon,2007,Petrol,Manual,Fair,8005.469674,2,1.655688091,36245.697,7,6000,2
Toyota,Saloon,2019,Electric,Manual,Excellent,25385.24186,2,2.696625886,10736.91127,20,4689,1
Honda,SUV,2004,Petrol,Manual,Fair,6553.601733,3,1.642471109,41953.92523,12,5190,4
Toyota,Saloon,2020,Electric,Manual,Good,24381.08335,3,2.044309359,12446.97569,8,5720,1
Toyota,Truck,2017,Hybrid,Automatic,Good,28357.83064,5,2.586011338,10560.54904,35,4559,1
Ford,Hatchback,2010,Hybrid,Automatic,Fair,20165.48038,5,2.378832784,19054.26593,18,5599,1
Honda,SUV,2004,Petrol,Manual,Good,6643.760315,2,2.316321916,40216.02424,24,4285,4
Honda,SUV,2003,Petrol,Manual,Fair,6122.786871,2,1.324603097,38621.36783,6,4304,4
Honda,SUV,2006,Petrol,Manual,Fair,5993.991374,3,1.986830155,44169.76022,18,6164,4
Toyota,Saloon,2019,Hybrid,Manual,Excellent,25982.19407,2,2.606651354,13200.40599,20,5904,1
Nissan,Saloon,2002,Petrol,Manual,Fair,8801.115767,3,2.951789323,35022.38781,21,5997,2
Honda,SUV,2008,Petrol,Manual,Fair,4665.620377,3,1.689957054,47280.81552,14,6431,2
Toyota,Saloon,2019,Electric,Manual,Good,20774.13597,2,2.506939966,23165.26445,16,4599,1
Ford,SUV,2005,Hybrid,Automatic,Good,18352.66203,2,2.800399058,21747.69757,8,5233,3
Nissan,Saloon,2004,Petrol,Manual,Good,9358.214815,2,2.776616366,34531.54206,13,4750,2
Ford,SUV,2020,Hybrid,Manual,Good,26730.83416,4,3.076941842,12464.83255,11,4615,1
Nissan,Coupe,2009,Electric,Manual,Good,11925.45656,3,2.20850039,30693.15818,10,4800,3
Toyota,Truck,2012,Hybrid,Manual,Excellent,23694.1164,4,2.404641092,14412.41269,31,6287,2
Chevrolet,Hatchback,2016,Petrol,Manual,Good,17517.66413,6,2.042257592,22190.08445,33,5145,2
Nissan,Saloon,2008,Electric,Automatic,Fair,12523.90508,2,2.627827128,30478.34128,20,6516,2
Ford,SUV,2016,Hybrid,Manual,Good,22389.09538,6,2.251651051,16127.8544,14,5414,3
Toyota,Hatchback,2008,Hybrid,Manual,Good,22866.4846,5,2.335165606,16092.39915,35,6271,2
Nissan,Saloon,2008,Petrol,Manual,Good,9504.396654,3,2.166068524,33728.81243,28,6113,2
Chevrolet,Hatchback,2008,Hybrid,Manual,Fair,16726.51991,2,1.900091653,26689.92017,27,5396,2
Chevrolet,Hatchback,2010,Electric,Manual,Fair,15964.33726,6,2.35731584,21354.47829,10,6344,2
Honda,SUV,2003,Petrol,Manual,Fair,4792.241041,3,1.743337614,46669.08383,26,5746,2
